physw_event_table dump (33 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc623cfc 0x00000200 0x00000100 0     0x00000001 0
0xfc623d04 0x00000201 0x00000101 0     0x00000002 0
0xfc623d0c 0x00000202 0x00000103 0     0x00000004 0
0xfc623d14 0x00008204 0xffffffff 0     0x00000010 0
0xfc623d1c 0x00000218 0x00000206 0     0x01000000 0
0xfc623d24 0x00000219 0x00000207 0     0x02000000 0
0xfc623d2c 0x07010220 0x00000001 1     0x00000001 1
0xfc623d34 0x01010223 0x00000002 1     0x00000008 1
0xfc623d3c 0x01010225 0x00000006 1     0x00000020 1
0xfc623d44 0x01010226 0x00000007 1     0x00000040 1
0xfc623d4c 0x01010227 0x00000009 1     0x00000080 1
0xfc623d54 0x01010228 0x00000008 1     0x00000100 1
0xfc623d5c 0x01010229 0x0000000a 1     0x00000200 1
0xfc623d64 0x0200802a 0xffffffff 1     0x00000400 0
0xfc623d6c 0x0200802b 0xffffffff 1     0x00000800 0
0xfc623d74 0x0101022c 0x00000014 1     0x00001000 1
0xfc623d7c 0x06010232 0x00000000 1     0x00040000 1
0xfc623d84 0x0101023c 0x00000209 1     0x10000000 1
0xfc623d8c 0x0100023d 0x0000020a 1     0x20000000 0
0xfc623d94 0x04010144 0xffffffff 2     0x00000010 1
0xfc623d9c 0x01000245 0x00000300 2     0x00000020 0
0xfc623da4 0x03008146 0xffffffff 2     0x00000040 0
0xfc623dac 0x00000254 0x8000040e 2     0x00100000 0
0xfc623db4 0x00000255 0x8000040f 2     0x00200000 0
0xfc623dbc 0x00000256 0x80000407 2     0x00400000 0
0xfc623dc4 0x00000257 0x80000408 2     0x00800000 0
0xfc623dcc 0x00000258 0x8000040d 2     0x01000000 0
0xfc623dd4 0x00000259 0x8000040b 2     0x02000000 0
0xfc623ddc 0x0000025a 0x80000401 2     0x04000000 0
0xfc623de4 0x0000025b 0x80000400 2     0x08000000 0
0xfc623dec 0x0100025c 0x00000202 2     0x10000000 0
0xfc623df4 0x0500015e 0xffffffff 2     0x40000000 0
0xfc623dfc 0x0000025f 0x00000210 2     0x80000000 0
